file,N,Kendall Tau Diameter Correlation,Kendall Tau Diameter Pvalue,SRCC Diameter,SRCC Diameter Pvalue,Zscore of latest sample Diameter,P of no change in mean Diameter,Kendall Tau Weight Correlation,Kendall Tau Weight Pvalue,SRCC Weight,SRCC Weight Pvalue,Zscore of latest sample Weight,P of no change in mean Weight,Kendall Tau IV Correlation,Kendall Tau IV Pvalue,SRCC IV,SRCC IV Pvalue,Zscore of latest sample IV,P of no change in mean IV
393.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.9816438084133842,0.3262753572026824,0.33333333333333337,1.0,0.5,0.6666666666666667,-0.4382148415117982,0.6612305508666394,-1.0,0.3333333333333333,-1.0,0.0,-0.5966656339918874,0.5507306413112936
394.0,3.0,-1.0,0.3333333333333333,-1.0,0.0,-1.5252764941607713,0.12719014811221277,0.33333333333333337,1.0,0.5,0.6666666666666667,1.5598118654136064,0.11880434666176014,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.3384693745660012,0.7350095021764661
398.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.42174049630763966,0.6732144422889381,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.21440542746678326,0.8302309095704814,-1.0,0.3333333333333333,-1.0,0.0,-0.8876974750287544,0.37470350448498746
400.0,3.0,-1.0,0.3333333333333333,-1.0,0.0,-0.5746137793176557,0.565552530871001,-1.0,0.3333333333333333,-1.0,0.0,-2.920484621457813,0.003494874454792954,1.0,0.3333333333333333,1.0,0.0,0.07103454925506714,0.9433702586021933
402.0,3.0,1.0,0.3333333333333333,1.0,0.0,0.42889984988564533,0.6679961094692041,0.33333333333333337,1.0,0.5,0.6666666666666667,0.45514274283969725,0.6490065494914119,0.33333333333333337,1.0,0.5,0.6666666666666667,0.450477807258374,0.6523659528259864
404.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,0.5240131345603606,0.6002694043976176,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.45205316263782686,0.6512306843330318,-1.0,0.3333333333333333,-1.0,0.0,-5.604531230258201,2.0881933851861263e-08
405.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.13886201887486296,0.8895591846698897,1.0,0.3333333333333333,1.0,0.0,0.18892558912393576,0.8501511375018245,-1.0,0.3333333333333333,-1.0,0.0,-0.9207307747153628,0.3571910047614548
406.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,1.2623251211116113,0.20683182085041496,1.0,0.3333333333333333,1.0,0.0,0.6190899301065376,0.535857116747488,-1.0,0.3333333333333333,-1.0,0.0,-0.4965701830165418,0.619492183954913
407.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-1.7003643572152587,0.08906241181987233,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-1.576111660258162,0.11500007228902857,0.33333333333333337,1.0,0.5,0.6666666666666667,2.2641894469453305,0.023562465371708485
408.0,3.0,1.0,0.3333333333333333,1.0,0.0,2.677891958691863,0.007408711192071611,1.0,0.3333333333333333,1.0,0.0,1.6219729106170786,0.10480914855503319,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.3254169850685208,0.7448655022469721
410.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.5355805017718238,0.5922485073650456,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.11919360355717622,0.9051219741456564,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.738211551092266,0.4603859046338735
411.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,0.20901892750805776,0.8344334629381608,0.33333333333333337,1.0,0.5,0.6666666666666667,0.19495461771689498,0.8454284756654606,0.33333333333333337,1.0,0.5,0.6666666666666667,0.9280510747808166,0.3533810765330082
412.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,2.584018805052278,0.009765646959501093,1.0,0.3333333333333333,1.0,0.0,1.0239334731986391,0.3058666985208627,-1.0,0.3333333333333333,-1.0,0.0,-1.322719563628035,0.18592865510635948
413.0,2.0,1.0,1.0,0.9999999999999999,,2.7280858742523777,0.006370302186452448,-1.0,1.0,-0.9999999999999999,,-0.10363890935063988,0.9174559087137528,1.0,1.0,0.9999999999999999,,1.0900944855523431,0.2756715251766306
414.0,2.0,-1.0,1.0,-0.9999999999999999,,-7.186901853971986,6.627801709242544e-13,1.0,1.0,0.9999999999999999,,1.278267279459398,0.20115520078873383,1.0,1.0,0.9999999999999999,,0.05309143992143397,0.9576590517884495
415.0,2.0,1.0,1.0,0.9999999999999999,,0.8267428013148125,0.40838285616684566,1.0,1.0,0.9999999999999999,,0.4583819745920202,0.6466780395254743,-1.0,1.0,-0.9999999999999999,,-0.20513113375010647,0.8374696723998762
418.0,2.0,-1.0,1.0,-0.9999999999999999,,-0.1731109439232949,0.86256422281809,-1.0,1.0,-0.9999999999999999,,-1.3764042592890255,0.16869651005165054,-1.0,1.0,-0.9999999999999999,,-0.6113438373266931,0.540971975298834
434.0,2.0,-1.0,1.0,-0.9999999999999999,,-0.13943200491331187,0.8891087831032269,1.0,1.0,0.9999999999999999,,0.07630706340362564,0.9391748064474721,-1.0,1.0,-0.9999999999999999,,-0.29053679249420555,0.7714056076832269
435.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,0.4935068212691416,0.6216545212464003,1.0,0.3333333333333333,1.0,0.0,0.7614208950165836,0.44640571096055504,-1.0,0.3333333333333333,-1.0,0.0,-0.8032203990680453,0.42184735701582055
436.0,4.0,0.18257418583505539,0.7179816667337768,0.21081851067789195,0.7891814893221081,-0.1687689697601287,0.8659783667109001,0.5477225575051662,0.2785986718379626,0.7378647873726218,0.2621352126273781,0.13166891044185197,0.8952461772495774,-0.912870929175277,0.07095149242730567,-0.9486832980505139,0.051316701949486114,-0.7555735695238721,0.44990490753725165
